"page","term","title","authors","year","n_citations","abstract"
1,"let-7a","Human let-7a miRNA blocks protein production on actively translating polyribosomes","S Nottrott, MJ Simard, JD Richter","2006",638,"… The mechanism by which human let-7a … that let-7a miRNA inhibits actively translating 
polyribosomes. Nascent polypeptide coimmunoprecipitation experiments further suggest that let-7a …"
1,"let-7a","The Human let-7a-3 Locus Contains an Epigenetically Regulated MicroRNA Gene with Oncogenic Function","B Brueckner, C Stresemann, R Kuner, C Mund","2007",669,"… Let-7a-3 hypomethylation facilitated epigenetic reactivation of the gene and elevated expression 
of let-7a-3 … Our results thus identify let-7a-3 as an epigenetically regulated miRNA gene …"
1,"let-7a","Selective blockade of DCAMKL-1 results in tumor growth arrest by a Let-7a MicroRNA-dependent mechanism","SM Sureban, R May, S Ramalingam, D Subramaniam","2009",138,"… -1 knockdown on let-7a miRNA-dependent gene silencing of let-7a downstream targets, we 
performed a luciferase gene reporter assay containing a specific let-7a miRNA binding site …"
1,"let-7a","[HTML][HTML] MicroRNA-Let-7a regulates the function of microglia in inflammation","KJ Cho, J Song, Y Oh, JE Lee","2015",101,"… MicroRNA-Let-7a (miR-Let-7a) is a tumor suppressor miRNA … Let-7a in inflammatory stress 
by over-expressing miR-Let-7a … according to miR-Let-7a expression level as measured by …"
2,"let-7a","Antagonistic role of hnRNP A1 and KSRP in the regulation of let-7a biogenesis","G Michlewski, JF Cáceres","2010",327,"… We hypothesized that the binding of hnRNP A1 to the terminal loop of let-7a could have 
an inhibitory role. First, we analyzed the levels of hnRNP A1 protein in different cell lines and …"
2,"let-7a","[HTML][HTML] The MicroRNA let-7a modulates interleukin-6-dependent STAT-3 survival signaling in malignant human cholangiocytes","F Meng, R Henson, H Wehbe-Janek, H Smith","2007",262,"… empty vector control) or with anti-let-7a inhibitor using TransIT-siQUEST transfection reagent 
… -let-7a, we used the pRL-TK let-7a firefly luciferase expression construct in which two let-7a …"
2,"let-7a","[HTML][HTML] Cellular stress induced alterations in microRNA let-7a and let-7b expression are dependent on p53","AD Saleh, JE Savage, L Cao, BP Soule, D Ly","2011",117,"… In this study we demonstrate that let-7a and let-7b expression … A radiation-induced decrease 
in let-7a and let-7b expression is also … Exogenous expression of let-7a and let-7b increased …"
3,"let-7a","[HTML][HTML] Regulation of the let-7a-3 Promoter by NF-κB","DJ Wang, A Legesse-Miller, EL Johnson, HA Coller","2012",57,"… of two let-7 family members, let-7a-3 and let-7b, which form a … We cloned three fragments 
upstream of the let-7a-3/let-7b … 293T and 3T3 cells, indicating that the let-7a-3/let-7b promoter is …"
3,"let-7a","[HTML][HTML] MYC protein inhibits transcription of the microRNA cluster MC-let-7a-1∼ let-7d via noncanonical E-box","Z Wang, S Lin, JJ Li, Z Xu, H Yao, X Zhu, D Xie","2011",96,"… -let-7a-1… -let-7a-1∼let-7d cluster was encoded by a single polycistronic transcript driven by 
a 10-kb upstream promoter, with two MYC-binding sites. Importantly, MYC inhibited MC-let-7a…"
3,"let-7a","[HTML][HTML] MicroRNA‑let‑7a inhibition inhibits LPS‑induced inflammatory injury of chondrocytes by targeting IL6R","C Sui, L Zhang, Y Hu","2019",32,"… the role and mechanism of microRNA‑let‑7a (Let‑7a) in OA by examining its role … Let-7a 
using a dual-luciferase reporter assay, and IL-6R was found to be negatively regulated by Let-7a…"
3,"let-7a","[PDF][PDF] Critical contribution of 3′ non-seed base pairing to the in vivo function of the evolutionarily conserved let-7a microRNA","Y Duan, I Veksler-Lublinsky, V Ambros","2022",21,"… We also confirm that the in vivo functional distinction between let-7a and miR-84 primarily 
reflects the specificity of let-7a for targeting lin-41, as well as other targets that require 30 non-…"
4,"let-7a","The downregulation of microRNA let-7a contributes to the excessive expression of type I collagen in systemic and localized scleroderma","K Makino, M Jinnin, A Hirano, K Yamane","2013",173,"… We demonstrated let-7a expression was downregulated in SSc and LSc skin both in vivo … 
we found let-7a was detectable and quantitative in the serum and investigated serum let-7a …"
4,"let-7a","Estradiol suppresses NF-κB activation through coordinated regulation of let-7a and miR-125b in primary human macrophages","AJ Murphy, PM Guyre, PA Pioli","2010",293,"… We next performed a time course to determine how the expression of let-7a and miR-125b 
is altered by activation with LPS. The results of this study showed that let-7a was induced, and…"
4,"let-7a","Visual and electrochemical detection of let-7a: A tumor suppressor and biomarker","Z Song, QY Zhang, JJ Li, JL Su, YH Liu","2023",3,"… Therefore, the content of let-7a can be detected indirectly according … let-7a and with different 
concentrations of let-7a participating in the HCR. The proposed method could detect let-7a …"
4,"let-7a","[HTML][HTML] Protective effects of let-7a and let-7b on oxidized low-density lipoprotein induced endothelial cell injuries","M Bao, Y Zhang, X Lou, Y Cheng, H Zhou","2014",71,"… Over-expression of let-7a … Let-7a or let-7b over-expression attenuated these alterations 
significantly. The present study may provide a new insight into the protective properties of let-7a …"
4,"let-7a","[HTML][HTML] Let-7a is an antihypertrophic regulator in the heart via targeting calmodulin","X Zhou, F Sun, S Luo, W Zhao, T Yang","2017",33,"… miRNA let-7a has … of let-7a markedly inhibited the upregulation of these hypertrophic markers 
in AngII-treated cells (P < 0.05). AMO-let-7a abolished the effects of let-7a, and AMO-let-7a …"
4,"let-7a","SYNCRIP, a new player in pri-let-7a processing","Y Chen, J Chan, W Chen, J Li, M Sun, GS Kannan","2020",15,"… let-7a interacts with SYNCRIP both in vivo and in vitro and this interaction contributes to 
increased expression of let-7a … controlled by SYNCRIP is not limited to let-7a miRNA; in fact, a …"
4,"let-7a","Hsa_circ_0005519 increases IL‐13/IL‐6 by regulating hsa‐let‐7a‐5p in CD4+ T cells to affect asthma","Z Huang, Y Cao, M Zhou, X Qi, B Fu","2019",65,"… hsa_circ_0005519 could regulate hsa-let-7a-5p target mRNA… the target mRNA of hsa-let-7a-5p 
was not enriched successfully. … to show the interaction between hsa-let-7a-5p and the 3′…"
5,"let-7a","[HTML][HTML] Positive regulation of innate immune response by miRNA-let-7a-5p","M Ueta, H Nishigaki, S Komai, K Mizushima","2023",5,"… There are few reports on the association between let-7a-5p in the plasma and allergic 
diseases. We think that ours is the first report showing that let-7a-5p regulates the innate immune …"
5,"let-7a","Circulating microRNAs let-7a and miR-16 predict progression-free survival and overall survival in patients with myelodysplastic syndrome","Z Zuo, GA Calin, HM De Paula","2011",130,"… was to analyze the levels of let-7a and miR-16 in plasma … Let-7a is a tumor suppressor gene 
that regulates oncogenes … We found that miR-16 and let-7a levels were significantly different …"
5,"let-7a","Mouse let-7 miRNA populations exhibit RNA editing that is constrained in the 5′-seed/cleavage/anchor regions and stabilize predicted mmu-let-7a: mRNA duplexes","JG Reid, AK Nagaraja, FC Lynn, RB Drabek","2008",107,"… All mmu-let-7a target site sequences were analyzed against the canonical mmu-let-7a 
miRNA sequence and compared with mmu-let-7a miRNA containing the ninth nucleotide edit. …"
5,"let-7a","Circulating miRNAs in murine experimental endometriosis: decreased abundance of let-7a","BJ Seifer, D Su, HS Taylor","2017",46,"… We found that abundance of let-7a-5p was significantly decreased in the serum of … compared 
with controls and statistically significant downregulation of let-7a. All let-7 family members …"
5,"let-7a","[HTML][HTML] Platelet microparticle delivered microRNA-Let-7a promotes the angiogenic switch","C Anene, AM Graham, J Boyne, W Roberts","2018",57,"… PMPs were an abundant source of miRNA Let-7a, which was transferred to HUVEC … that Let-7a directly targets the 3’UTR of the THBS-1 mRNA. HUVEC transfection with a Let-7a anti-…"
6,"let-7a","MicroRNA let‐7a regulates angiogenesis by targeting TGFBR3 mRNA","S Wang, H Zhou, D Wu, H Ni, Z Chen","2019",32,"… is a direct target gene of let-7a, we cloned the 3′ … let-7a binding site by site-directed 
mutagenesis (3′UTR-MUT), as indicated in Figure 1D. As predicted, overexpression of let-7a …"
6,"let-7a","MicroRNA Let-7a and dicer are important in the activation and implantation of delayed implanting mouse embryos","AWY Cheong, RTK Pang, WM Liu","2014",65,"… Our results indicate that the Let-7a-dicer interaction leads to differential microRNA … of Let-7a 
in human blastocysts is similar to that in mouse blastocysts, our observation that the Let-7a-…"
6,"let-7a","LncRNA NEAT1 promotes inflammatory response in sepsis-induced liver injury via the Let-7a/TLR4 axis","CC Zhang, F Niu","2019",90,"… TargetScan software predicted an interaction between lncRNA NEAT1 and Let-7a, … Let-7a 
level was decreased in this condition. We also found that lncRNA NEAT1 interacts with Let-7a, …"
6,"let-7a","Dose-dependent differential mRNA target selection and regulation by let-7a-7f and miR-17-92 cluster microRNAs","J Shu, Z Xia, L Li, ET Liang, N Slipek, D Shen, J Foo","2012",86,"… We studied the effects of varying concentrations of let-7a-7f … After overexpressing let-7a-7f 
or the miR-17-92 clusters at … Further, by comparing the expression levels of let-7a and miR-17-…"
6,"let-7a","[HTML][HTML] Alterations in microRNAs miR-21 and let-7a correlate with aberrant STAT3 signaling and downstream effects during cervical carcinogenesis","G Shishodia, S Shukla, Y Srivastava, S Masaldan","2015",94,"… , low level of let-7a was detected in cancer tissues compared to the let-7a in pre-cancer 
and normal control tissues. Among all tissue types, a characteristically high level of let-7a was …"
7,"let-7a","RETRACTED: BMSCs-derived exosomal microRNA-let-7a plays a protective role in diabetic nephropathy via inhibition of USP22 expression","R Mao, J Shen, X Hu","2021",41,"… of let- 7a-… let-7a, but the role of BMSCs-derived exosomal let-7a in DN through regulating 
USP22w was unknown. Therefore, we might hypothesize that BMSCs-derived exosomal let-7a …"
7,"let-7a","Anhedonia was associated with the dysregulation of hippocampal HTR4 and microRNA Let-7a in rats","M Bai, XZ Zhu, Y Zhang, S Zhang, L Zhang, L Xue","2014",59,"… protein expression and significantly higher Let-7a level in the hippocampus … Let-7a 
expression. Htr4 mRNA expression positively correlated with sucrose preference rate, while Let-7a …"
7,"let-7a","One-step enzyme-free detection of the miRNA let-7a via twin-stage signal amplification","J Pu, M Liu, H Li, Z Liao, W Zhao, S Wang, Y Zhang","2021",30,"… The let-7 miRNA family has 12 members (from let-7a to let-7i). Among them, let-7a is being 
studied in depth because of its large research potential and representativeness [12]. Let-7a is …"
7,"let-7a","A potentially functional polymorphism in the regulatory region of let-7a-2 is associated with an increased risk for diabetic nephropathy","J Zhou, R Peng, T Li, X Luo, H Peng, H Zha, P Yin","2013",60,"… three SNPs in the regulatory region of let-7a-2 gene and the risk of DN … Also, the genotype 
and allele frequencies of let-7a-2 … In conclusion, let-7a-2 might participate in the regulation of …"
8,"let-7a","[HTML][HTML] Let-7a is differentially expressed in bronchial biopsies of patients with severe asthma","M Rijavec, P Korošec, M Žavbi, I Kern, MM Malovrh","2014",38,"… Expression of selected miRNAs, specifically let-7a, miR-21 … We found significantly reduced 
expression of let-7a in bronchial … Reduced let-7a levels in bronchial biopsies of patients with …"
8,"let-7a","[HTML][HTML] Naringenin ameliorated kidney injury through Let-7a/TGFBR1 signaling in diabetic nephropathy","N Yan, L Wen, R Peng, H Li, H Liu, H Peng","2016",66,"… experiments showed that let-7a was downexpressed in DN patients, and the let-7a-3 … 
rs1143770 polymorphism of let-7a-2 were participated in DN [21, 22]. Moreover, let-7a had been …"
8,"let-7a","[HTML][HTML] Let‑7a‑5p may participate in the pathogenesis of diabetic nephropathy through targeting HMGA2","T Wang, H Zhu, S Yang, X Fei","2019",35,"… was to investigate the roles of let‑7a‑5p in the pathogenesis … applied to detect the expression 
of let‑7a‑5p and high‑mobility … either let‑7a‑5p mimics or let‑7a‑5p inhibitors. The effects of …"
8,"let-7a","[PDF][PDF] Down-regulation of let-7a and miR-21 in urine exosomes from lupus nephritis patients during disease flare","P Tangtanatakul, S Klinchanhom, P Sodsai","2019",66,"… during disease flare and down-regulation of let-7a was also consistent with our previous 
study.… In spontaneous developed LN mouse model, experiments found that let-7a was able to …"
8,"let-7a","Micro RNA 34a and Let-7a expression in human breast cancers is associated with apoptotic expression genes","B Mansoori, A Mohammadi, S Shirjang","2016",47,"… let-7a are well known tumor suppressors that participate in the regulation of apoptosis, invasion 
and other cellular functions. In this study, expression of miR-34a, let-7a … MiR-34a, let-7a, …"
9,"let-7a","Differential expression of miR-155 and Let-7a in the plasma of childhood asthma: Potential biomarkers for diagnosis and severity","RA Karam, DM Abd Elrahman","2019",42,"… Let-7a expression our data revealed that let-7a could … let-7a could be predictor of the 
severity of asthma with an AUC of 0.80 (95% CI: 0.68–0.92, P = 0.001). At cutoff value 1.6, let-7a …"
9,"let-7a","[HTML][HTML] Human bone marrow mesenchymal stem cell-derived extracellular vesicles inhibit shoulder stiffness via let-7a/Tgfbr1 axis","Z Luo, Y Sun, B Qi, J Lin, Y Chen, Y Xu, J Chen","2022",45,"… To verify the effects of let-7a-5p, we first treated BMSCs with the let-7a-5p inhibitor (50 nM) 
for 24 h before these cells were collected, and then fresh non-EVs DMEM was added for …"
9,"let-7a","[HTML][HTML] Let-7a-5p inhibits triple-negative breast tumor growth and metastasis through GLUT12-mediated warburg effect","Y Shi, Y Zhang, F Ran, J Liu, J Lin, X Hao, L Ding, Q Ye","2020",43,"… let-7a-5p expression was inversely correlated with GLUT12 expression. High expression of let-7a-… Taken together, our results indicate that the let-7a-5p/GLUT12 axis plays key roles in …"
9,"let-7a","[HTML][HTML] Knockdown of microRNA Let-7a improves the functionality of bone marrow-derived mesenchymal stem cells in immunotherapy","Y Yu, L Liao, B Shao, X Su, Y Shuai, H Wang, F Shang","2017",47,"… of let-7a … of let-7a significantly improved the therapeutic effect of MSC cytotherapy on 
inflammatory bowel diseases and GVHD. With high safety and convenience, knockdown of let-7a is …"
9,"let-7a","[HTML][HTML] TGF-β induces miR-100 and miR-125b but blocks let-7a through LIN28B controlling PDAC progression","S Ottaviani, J Stebbing, AE Frampton, S Zagorac","2018",115,"… let-7a, but not miR-125b or miR-100 levels. To evaluate the kinetics of LIN28B/let-7a … -β 
treatment, and measured miR-100, miR-125b, let-7a levels (Fig. 2b left panel), as well as …"
9,"let-7a","Promoter hypermethylation of let-7a-3 is relevant to its down-expression in diabetic nephropathy by targeting UHRF1","R Peng, H Liu, H Peng, J Zhou, H Zha, X Chen","2015",50,"… let-7a was down-expressed in DN by microarray, but the mechanism is unclear. In this study, let-7a-… promoter region among the three let-7a members (let-7a-1, let-7a-2 and let-7a-3) by …"
10,"let-7a","[HTML][HTML] Honeysuckle Aqueous Extracts Induced let-7a Suppress EV71 Replication and Pathogenesis In Vitro and In Vivo and Is Predicted to Inhibit SARS-CoV-2","YR Lee, CM Chang, YC Yeh, CYF Huang, FM Lin","2021",35,"… We demonstrated that let-7a targeted EV71 at the predicted … extract or inoculated with let-7a 
showed decreased clinical … through the upregulation of let-7a expression both in vitro and …"
10,"let-7a","[HTML][HTML] Mesenchymal stem cells exosomal let-7a-5p improve autophagic flux and alleviate liver injury in acute-on-chronic liver failure by promoting nuclear …","D Lin, H Chen, J Xiong, J Zhang, Z Hu, J Gao","2022",23,"… Among of the miRNAs mentioned above, let-7a-5p … let-7a-5p to the recipient hepatocytes 
by exosomes may mediate the therapeutic effect of MSCs, and thus the regulatory role of let-7a-…"
10,"let-7a","LincRNA-Cox2 promotes pulmonary arterial hypertension by regulating the let-7a-mediated STAT3 signaling pathway","G Cheng, L He, Y Zhang","2020",25,"… Although we had already confirmed that miR-let-7a was a target of lincRNA-COX2, the role 
of miR-let-7a in lincRNA-COX2-mediated effects in hypoxic PASMCs remained unclear. Thus…"
11,"let-7a","Csi-let-7a-5p delivered by extracellular vesicles from a liver fluke activates M1-like macrophages and exacerbates biliary injuries","C Yan, QY Zhou, J Wu, N Xu, Y Du","2021",33,"… with anti–Csi-let-7a-5p; accordingly, we found that CsEVs from Csi-let-7a-5p-decreased 
worms (Csi-let-7a-5p -inhibited CsEVs, with the aberrant Csi-let-7a-5p) significantly depressed …"
11,"let-7a","Temporal and spatial regulation of let-7a in the uterus during embryo implantation in the rat","HF Xia, XH Jin, PP Song, Y Cui, CM Liu","2010",44,"… of let-7a was higher on gestation day 6–7 (gd 6–7) in rats than on gd4–5 and gd8–9. Let-7a … 
The expression of let-7a was not significantly different in the pseudopregnant uterus and …"
11,"let-7a","miR-let-7a suppresses α-Synuclein-induced microglia inflammation through targeting STAT3 in Parkinson's disease","J Zhang, D Zhou, Z Zhang, X Qu, K Bao, G Lu","2019",48,"… [10], miR-let-7a regulates the expression of the … -let-7a was found to regulate microglia 
inflammation under in vitro conditions [12]. Based on these hints, we hypothesized that miR-let-7a …"
11,"let-7a","Japanese Encephalitis Virus‐induced let‐7a/b interacted with the NOTCH‐TLR7 pathway in microglia and facilitated neuronal death via caspase activation","S Mukherjee, I Akbar, B Kumari, S Vrati","2019",56,"… Here, we identified let-7a and let-7b (let-7a/b) as one of the essential miRNAs over-… evidence 
for the multifaceted role of let-7a/b miRNAs in JEV pathogenesis. Let-7a/b can interact with …"
12,"let-7a","MicroRNA-let-7a expression is increased in the mesangial cells of NZB/W mice and increases IL-6 production in vitro","CB Chafin, NL Regna, R Dai, DL Caudell","2013",38,"… for miRNA-let-7a (let-7a) in its 3′ untranslated region (UTR). We found let-7a expression 
was … Overexpression of let-7a in vitro increased IL-6 production in stimulated mesangial cells …"
12,"let-7a","Honeysuckle aqueous extract and induced let-7a suppress dengue virus type 2 replication and pathogenesis","YR Lee, SF Yeh, XM Ruan, H Zhang, SD Hsu","2017",41,"… We confirmed that let-7a could target DENV2 at the predicated NS1 sequence and suppress 
… results were observed when DENV2-infected mice were intracranially injected with let-7a. …"
12,"let-7a","Argonaute-3 activates the let-7a passenger strand microRNA","J Winter, S Diederichs","2013",49,"… could increase its silencing activity, we predicted let-7a-3p targets and tested their regulation 
upon let-7a and Ago3 overexpression. Let-7a-3p binding sites were identified in silico in …"
12,"let-7a","[PDF][PDF] Identification of circulating miR-22-3p and let-7a-5p as novel diagnostic biomarkers for rheumatoid arthritis","J Tang, J Lin, Z Yu, R Jiang, J Xia, B Yang","2022",14,"… In the RA versus the HD subgroup, our above analysis revealed that miR-223p, let-7a-5p 
or combined miR-22-3p/ let-7a-5p had larger AUCs (AUCs >0.8) compared with other …"
12,"let-7a","[HTML][HTML] Let-7a gene knockdown protects against cerebral ischemia/reperfusion injury","Z Wang, F Liu, Y Wang, X Jiang","2016",33,"… This study investigated the effects of let-7a … a let-7a shRNA slow virus vector and a rat let-7a-knockdown cerebral I/R injury model. We also explored the possible mechanism of let-7a …"
