"page","term","title","authors","year","n_citations","abstract"
1,"miR-106b-5p","miR-106b-5p and miR-17-5p suppress osteogenic differentiation by targeting Smad5 and inhibit bone formation","T Fang, Q Wu, L Zhou, S Mu, Q Fu","2016",77,"… miR-106b-5p and miR-17-5p on osteogenic differentiation. We observed an obvious 
decreasement in miR-106b-5p … function experiments, we noticed that miR-106b-5p and miR-17-5p …"
1,"miR-106b-5p","[HTML][HTML] Macrophage secretion of miR-106b-5p causes renin-dependent hypertension","J Oh, SJ Matkovich, AE Riek, SM Bindom","2020",35,"… a fivefold increase in miR-106b-5p abundance compared to control … miR-106b-5p (Fig. 
2j). To confirm that macrophage-secreted miR-106b-5p was the source of increased miR-106b-5p …"
2,"miR-106b-5p","[HTML][HTML] Mycobacterium tuberculosis modulates miR-106b-5p to control cathepsin S expression resulting in higher pathogen survival and poor T-cell activation","D Pires, EM Bernard, JP Pombo, N Carmo","2017",50,"… as miR-106b-5p were specifically upregulated by pathogenic mycobacteria. Here, we show 
that miR-106b-5p is … Using an in silico prediction approach, we identified miR-106b-5p with a …"
2,"miR-106b-5p","The fibroblast-like synoviocyte derived exosomal long non-coding RNA H19 alleviates osteoarthritis progression through the miR-106b-5p/TIMP2 axis","F Tan, D Wang, Z Yuan","2020",60,"… degradation of chondrocytes via targeting miR-106b-5p. a Luciferase activities in chondrocytes 
were compared between miR-106b-5p mimic+H19-WT and miR-106b-5p mimic+H19-…"
3,"miR-106b-5p","Linc00657 promoted pyroptosis in THP-1-derived macrophages and exacerbated atherosclerosis via the miR-106b-5p/TXNIP/NLRP3 axis","Y Liang, XD Xu, X Xu, YB Cai, ZX Zhu, L Zhu","2023",3,"… or miR-106b-5p mimics transfection. Mechanistically, linc00657 enhanced TXNIP expression 
by competitively binding to miR-106b-5p, … factors and decreased miR-106b-5p level in the …"
3,"miR-106b-5p","[HTML][HTML] CircCCNB1 silencing acting as a miR-106b-5p sponge inhibited GPM6A expression to promote HCC progression by enhancing DYNC1I1 expression and …","Y Liu, Y Cao, P Zhao, L Wu, Y Lu, Y Wang","2022",23,"… of the hsa_circ_0001495 (circCCNB1)/miR-106b-5p/GPM6A ceRNA network in vitro and in 
… of the targeted GPM6A by miR-106b-5p induced reduction of miR-106b-5p sponging, which …"
3,"miR-106b-5p","[HTML][HTML] miR‑106b‑5p targeting SIX1 inhibits TGF‑β1‑induced pulmonary fibrosis and epithelial‑mesenchymal transition in asthma through regulation of E2F1","S Liu, X Chen, S Zhang, X Wang","2021",23,"… study identified that miR-106b-5p inhibited fibrosis and EMT via the miR-106b-5p/E2F1/SIX1 
signaling pathway in TGF-β1-induced BEAS-2B cells. Therefore, miR-106b-5p may be a …"
3,"miR-106b-5p","[HTML][HTML] miR‑106b‑5p modulates acute pulmonary embolism via NOR1 in pulmonary artery smooth muscle cells","H Chen, Q Ma, J Zhang, Y Meng","2020",15,"… and migration were reduced following treatment with miR‑106b‑5p agomiR, and increased 
following treatment with miR‑106b‑5p antagomiR. miR‑106b‑5p targeted the 3' untranslated …"
3,"miR-106b-5p","[HTML][HTML] Protective role of matrine in sepsis-associated cardiac dysfunction through regulating the lncRNA PTENP1/miR-106b-5p axis","Y Liu, L Liu, J Zhang","2021",18,"… By matrine administration, the expression of PTENP1 was downregulated, but miR-106b-5p … 
the knockdown of miR-106b-5p, and the overexpression of miR-106b-5p could significantly …"
3,"miR-106b-5p","Circular RNA circ_DROSHA alleviates the neural damage in a cell model of temporal lobe epilepsy through regulating miR-106b-5p/MEF2C axis","D Zheng, M Li, G Li, J Hu, X Jiang, Y Wang, Y Sun","2021",18,"… , miR-106b-5p represented a downstream effector of circ_DROSHA function. MEF2C was a 
direct target of miR-106b-5p, and miR-106b-5p … expression via sponging miR-106b-5p. Our …"
