"page","term","title","authors","year","n_citations","abstract"
1,"miR-150-5p","[HTML][HTML] LncRNA MALAT1 promotes osteoarthritis by modulating miR-150-5p/AKT3 axis","Y Zhang, F Wang, G Chen, R He, L Yang","2019",140,"… while miR-150-5p was downregulated in OA in vitro and vivo. The level of miR-150-5p was 
… expression of AKT3 by negatively regulating miR-150-5p. MALAT1 knockdown inhibited cell …"
1,"miR-150-5p","[HTML][HTML] Disease specific signature of circulating miR-150-5p and miR-21-5p in myasthenia gravis patients","AR Punga, M Andersson, M Alimohammadi","2015",69,"… two separate hypotheses, both based on mean miR-150-5p outcome: MG-0 = HC and MG-0 … 
between miR-150-5p and disease severity and whether there is an increase of miR-150-5p …"
1,"miR-150-5p","MiR-150-5p protects against septic acute kidney injury via repressing the MEKK3/JNK pathway","L Shi, Y Zhang, Y Xia, C Li, Z Song, J Zhu","2021",35,"… Moreover, miR-150-5p was identified as a … miR-150-5p on LPS-induced HK2 cell injury. 
Mechanistically, the MEKK3/JNK pathway was identified as a functional target of miR-150-5p, …"
1,"miR-150-5p","[HTML][HTML] Causes and consequences of miR-150-5p dysregulation in myasthenia gravis","MA Cron, S Maillard, F Truffault, A Gloghini","2019",28,"… We observed that miR-150-5p (miR-150) is upregulated in the serum of AChR + patients 
and its expression is lowered after thymectomy, accompanied by an improvement of symptoms (…"
2,"miR-150-5p","[HTML][HTML] Upregulated circRNA ARHGAP10 predicts an unfavorable prognosis in NSCLC through regulation of the miR-150-5p/GLUT-1 axis","M Jin, C Shi, C Yang, J Liu, G Huang","2019",70,"… miR-150-5p/GLUT1 axis in NSCLC, which was confirmed with a luciferase reporter assay. 
Overexpression of GLUT1 or downregulation miR-150-5p … acting as a miR-150-5p sponge to …"
2,"miR-150-5p","[HTML][HTML] Overexpression of miR-150-5p alleviates apoptosis in sepsis-induced myocardial depression","XG Zhu, TN Zhang, R Wen, CF Liu","2020",33,"… of miR-1505p was decreased in the model group compared to the control group, indicating 
that miR-150-5p … We hypothesized that the differentially expressed miR150-5p is involved in …"
2,"miR-150-5p","MiR-150-5p retards the progression of myocardial fibrosis by targeting EGR1","J Shen, W Xing, F Gong, W Wang, Y Yan, Y Zhang","2019",45,"… and EGR1 were differentially expressed in human MF cells and the effect of mir-150-5p/… of 
EGR1 and miR-150-5p on a MF. Together, our results suggest that miR-150-5p could regulate …"
2,"miR-150-5p","Circulating mi RNA s in myasthenia gravis: miR‐150‐5p as a new potential biomarker","T Punga, R Le Panse, M Andersson","2014",86,"… We hypothesize that this could be due to the fact that miR-150-5p expression is high not only 
in the thymus but also in the lymph nodes and spleen,28 and thus the activation of miR150-…"
3,"miR-150-5p","[HTML][HTML] Circulating microRNA miR-21-5p, miR-150-5p and miR-30e-5p correlate with clinical status in late onset myasthenia gravis","L Sabre, P Maddison, G Sadalage, PA Ambrose","2018",33,"… detected miR-150-5p … miR-150-5p and miR-21-5p, is thus likely due commencement of 
immunosuppression (Punga et al., 2015). These results, including the reduction of miR-150-5p …"
3,"miR-150-5p","[HTML][HTML] Circular RNA ZNF609 functions as a competitive endogenous RNA to regulate AKT3 expression by sponging miR-150-5p in Hirschsprung's disease","L Peng, G Chen, Z Zhu, Z Shen, C Du, R Zang, Y Su","2017",180,"… miR-150-5p, we analyzed the mRNA and protein levels of AKT3 in cells of which the expression 
of cir-ZNF609 and miR-150-5p … in cells treated with miR-150-5p inhibitor. Compared with …"
