"page","term","title","authors","year","n_citations","abstract"
1,"miR-16-1","[HTML][HTML] miR-15a and miR-16-1 inhibit the proliferation of leukemic cells by down-regulating WT1 protein level","S Gao, C Xing, C Chen, S Lin, P Dong, F Yu","2011",85,"… Finally, we found a significant inverse correlation between miR-15a or miR-16-1 expression 
and WT1 protein levels in primary acute myeloid leukemia (AML) blasts and normal controls. …"
2,"miR-16-1","[HTML][HTML] Hepatitis B viral RNA directly mediates down-regulation of the tumor suppressor microRNA miR-15a/miR-16-1 in hepatocytes","Y Wang, L Jiang, X Ji, B Yang, Y Zhang","2013",134,"… We demonstrate a critical role of miR-15a/miR-16-1 in this functional interplay … /miR-16-1 
via the microRNA targeting sequences in the viral RNA. Because miR-15a and miR-16-1 are …"
2,"miR-16-1","DLEU2, frequently deleted in malignancy, functions as a critical host gene of the cell cycle inhibitory microRNAs miR-15a and miR-16-1","M Lerner, M Harada, J Lovén, J Castro, Z Davis","2009",194,"… 15a/miR-16-1. In line with a functional role for DLEU2 in the expression of the microRNAs, the 
miR-15a/miR-16-1 … E1 and D1 through miR-15a/miR-16-1 and provide evidence that these …"
2,"miR-16-1","[HTML][HTML] Pure curcumin decreases the expression of WT1 by upregulation of miR-15a and miR-16-1 in leukemic cells","S Gao, J Yang, C Chen, J Chen, L Ye, L Wang","2012",115,"… of miR-15a and miR-16-1 by curcumin in leukemic cells. Our … overexpression of miR-15a 
and miR-16-1 in K562 and HL-60 … In conclusion, miR-15a and miR-16-1 probably regulated …"
2,"miR-16-1","[HTML][HTML] Expression of the microRNAs hsa-miR-15a and hsa-miR-16-1 in lens epithelial cells of patients with age-related cataract","Y Li, S Liu, F Zhang, P Jiang, X Wu","2015",62,"… Relative expression of hsa-miR-16-1-5p and hsa-miR-16-1-3p in normal lens epithelial cells 
… For hsa-miR-16-1-3p, we did not detect any expression in lens epithelial cells for groups A …"
2,"miR-16-1","The miR‐15a‐miR‐16‐1 locus is homozygously deleted in a subset of prostate cancers","KP Porkka, EL Ogg, OR Saramäki","2011",54,"… Most importantly, the miR-15a-miR-16-1 locus was found to … Mutation screening of the 
miR-15a-miR-16-1 gene in the … suppressors, miR-15a and miR-16-1, are homozygously deleted in …"
3,"miR-16-1","[HTML][HTML] miR-16-1 Promotes the Aberrant α-Synuclein Accumulation in Parkinson Disease via Targeting Heat Shock Protein 70","Z Zhang, Y Cheng","2014",91,"… Hsp70, and miR-16-1 was one of the screened target microRNAs, highly pairing sites within 
the 3 … The miR-16-1 mimics transfection in SH-SY5Y cell significantly reduced the Hsp70 …"
3,"miR-16-1","miR-16-1-3p targets TWIST1 to inhibit cell proliferation and invasion in NSCLC.","QQ Feng, ZQ Dong, Y Zhou, H Zhang","2018",21,"… In our study, the impact of miR-16-1-3p on cell proliferation and invasion in NSCLC was 
explored. miR-16-1-3p mimics were transfected to A549 cells for miR-16-1-3p overexpression. …"
3,"miR-16-1","Conservation of miR-15a/16-1 and miR-15b/16-2 clusters","J Yue, G Tigyi","2010",83,"… The miR-16-2 gene in the miR-15b/16-2 cluster has the same mature sequence as miR-16-1, 
whereas there are four nucleotide differences between miR-15b and miR-15a. However, it …"
3,"miR-16-1","[HTML][HTML] MiR-15a/miR-16-1 expression inversely correlates with cyclin D1 levels in Men1 pituitary NETs","KE Lines, PJ Newey, CJ Yates","2019",18,"… A significant decrease in miR-16-1 levels was also seen when cells were transfected with 
antagomirs targeting miR-16-1 alone or both miR-15a and miR-16-1 (*P < 0.05 and ** P < 0.01…"
4,"miR-16-1","[HTML][HTML] Aloe-emodin induces breast tumor cell apoptosis through upregulation of miR-15a/miR-16-1 that suppresses BCL2","X Jiang, Y Liu, G Zhang, S Lin, J Wu, X Yan","2020",21,"… miR-15a and miR-16-1 as the candidates that … miR-16-1 [21]. Taking this into consideration, 
MCF-10AT and MCF-7 cells were transfected with plasmids carrying miR-15a or miR-16-1 …"
4,"miR-16-1","miR-15a/16-1 influences BCL2 expression in keratocystic odontogenic tumors","MG Diniz, CC Gomes, WH de Castro, ALS Guimarães","2012",52,"… The microRNAs (miRNAs) miR-15a and miR-16-1 function as negative regulators of the 
anti-… whether the transcription of miR-15a and miR-16-1 is altered in KCOTs and whether it is …"
4,"miR-16-1","[HTML][HTML] Triptolide exerts protective effects against fibrosis following ileocolonic anastomosis by mechanisms involving the miR-16-1/HSP70 pathway in IL-10-deficient …","HW Hou, JM Wang, D Wang","2017",12,"… The abundance of miR-16-1 or HSP70mRNA was presented as the … miR-16-1 can be 
effectively inhibited by TPL, and the DAI score can be reduced through the inhibition of miR-16-1…"
4,"miR-16-1","[HTML][HTML] Triptolide inhibits the proliferation of cells from lymphocytic leukemic cell lines in association with downregulation of NF-κB activity and miR-16-1","H Meng, L Zhu, W Ni, L You, J Jin, W Qian","2011",35,"… Functional analysis revealed that TPL treatment could inhibit expression of miR-16-1 * 
and that transfection of miR-16-1 * led to significantly decreased apoptosis induced by TPL. …"
