"page","term","title","authors","year","n_citations","abstract"
1,"miR-17","[HTML][HTML] miRiad roles for the miR-17-92 cluster in development and disease","JT Mendell","2008",1376,"… primary transcript structures of the human miR-17-92, miR-… grouped into four families: the miR-17 family (miR-17, miR-20a/b, … MicroRNAs of the miR-17-92 cluster and its paralogs have …"
1,"miR-17","[HTML][HTML] MiR-17-92 cluster and immunity","G Kuo, CY Wu, HY Yang","2019",86,"… miR-17-92 host gene is first found in malignant B-cell lymphoma. Recent research identifies 
the miR-17… In light of the miR-17-92 cluster's increasing role in regulating the immune system…"
1,"miR-17","MiR-17-92 cluster promotes hepatocarcinogenesis","H Zhu, C Han, T Wu","2015",97,"… that miR-17-92 … miR-17-92 transgenic mouse model, we observe that miR-17-92 expression 
in the liver enhances hepatocellular cancer development. The oncogenic role of the miR-17-…"
1,"miR-17","mir‐17‐92: a polycistronic oncomir with pleiotropic functions","V Olive, Q Li, L He","2013",158,"… the three mir-17-92 homologues, as double knockout (DKO) of mir-17-… Compared to the mir-17-92 KO mice, the DKO and TKO mice … caused by mir-17-92 deficiency, elevated mir-17-92 …"
1,"miR-17","Tumorigenicity of the miR-17-92 cluster distilled","G van Haaften, R Agami","2010",104,"… from the miR-17-92 cluster have also been described to control important tumor suppression 
pathways. The two miR-17 family members of the miR-17-92 cluster, miR-17 and miR-20a, …"
1,"miR-17","miR-34a, miR-29c and miR-17-5p are downregulated in CLL patients with TP53 abnormalities","M Mráz, K Malinova, J Kotaskova, S Pavlova, B Tichy","2009",241,"… miR-17-5p was the third significantly downregulated miRNA in … miR-17-5p also acts at 
the G 1 /S-phase cell-cycle checkpoint by targeting genes involved in this transition. The miR-17-…"
1,"miR-17","miR‐17, miR‐19b, miR‐20a, and miR‐106a are down‐regulated in human aging","M Hackl, S Brunner, K Fortschegger, C Schreiner","2010",401,"… miR-17 … miR-17 have been found in S phase cells compared to G0/G1 and G2/M phase 
HeLa cells (Cloonan et al., 2008), our result is not a mere growth arrest phenomenon, as miR-17 …"
2,"miR-17","[HTML][HTML] The miR-17/92 cluster: a comprehensive update on its genomics, genetics, functions and increasingly important and numerous roles in health and disease","E Mogilyansky, I Rigoutsos","2013",929,"… Herein, we focus on the miR-17/92 cluster of miRNAs and review the current knowledge to 
… and discuss the topic of miRNA target identification in the context of the miR-17/92 cluster. …"
2,"miR-17","Identification of Hypoxia-Inducible Factor-1α as a Novel Target for miR-17-92 MicroRNA Cluster","A Taguchi, K Yanagisawa, M Tanaka, K Cao","2008",389,"… We previously reported amplification and overexpression of the miR-17-92 miRNA 
cluster at … against miR-17-5p and miR-20a, constituents of miR-17-92, specifically in miR-17-92–…"
2,"miR-17","miR-19 is a key oncogenic component of mir-17-92","V Olive, MJ Bennett, JC Walker, C Ma","2009",757,"… -92 components may contribute differently to its oncogenic potential comes from our 
previous observation, in which mir-17-19b, a truncated mir-17-92 cluster lacking miR-92a (…"
2,"miR-17","MiR-17-92 angiogenesis micromanagement","F Kuhnert, CJ Kuo","2010",56,"… knockdown enhanced endothelial sprouting, and miR-17 produced the strongest loss- … miR-17 target and was functionally validated as a proangiogenic molecule downstream of miR-17…"
2,"miR-17","[HTML][HTML] The miR-17-5p microRNA is a key regulator of the G1/S phase cell cycle transition","N Cloonan, MK Brown, AL Steptoe, S Wani, WL Chan","2008",360,"… In this study, we employ a systems biology approach to uncover a large network of interacting 
genes that are directly targeted by miR-17-5p. We show that ectopic expression of miR-17-…"
3,"miR-17","Epigenetic Regulation of miR-17∼92 Contributes to the Pathogenesis of Pulmonary Fibrosis","D Dakhlallah, K Batte, Y Wang","2013",275,"… Objectives: We investigated the miR-17∼92 cluster expression and … miR-17∼92 cluster, 
which encodes six miRNAs within a single open reading frame (19, 20). In solid tumors, miR-17…"
3,"miR-17","Prognostic value of miR-17-5p in cancers: a meta-analysis","W Kong, Y Cheng, H Liang, Q Chen, C Xiao","2018",13,"… The aim of this meta-analysis was to quantitatively analyze the association of miR-17-5p … 
expression of miR-17-5p had a worse prognosis than those with low expression of miR-17-5p (…"
3,"miR-17","[HTML][HTML] Elevated expressions of serum miR-15a, miR-16, and miR-17-5p are associated with acute ischemic stroke","J Wu, K Du, X Lu","2015",71,"… regression demonstrated that serum miR-17-5p level was a … miR-15a, miR-16, and miR-17-5p, 
respectively, while the AUC … -15a, miR-16, and miR-17-5p is strongly associated with AIS …"
3,"miR-17","Lymphoproliferative disease and autoimmunity in mice with increased miR-17-92 expression in lymphocytes","C Xiao, L Srinivasan, DP Calado, HC Patterson","2008",1528,"… in the miR-17-92 cluster (miR-17, miR-19 and miR-92), we found only 50 distinct mRNA 
molecules with such 3′ UTRs, and PTEN and Bim transcripts were among the top 10 when we …"
3,"miR-17","[HTML][HTML] The MicroRNA family both in normal development and in different diseases: the miR-17-92 cluster","X Bai, S Hua, J Zhang, S Xu","2019",42,"… Therefore, we divided the miR-17-92 gene cluster and its homologous genes into four 
families based on their seed sequences, the miR-17 family (miR-17, miR-20a/miR-20b, miR-106a/…"
3,"miR-17","[PDF][PDF] The miR-17∼ 92 microRNA cluster is a global regulator of tumor metabolism","S Izreig, B Samborska, RM Johnson, A Sergushichev","2016",70,"… miR17 92, we demonstrate that miR-17 92 is a critical regulator of metabolic reprogramming 
in Myc+ tumors. We show that miR-17 … growth, while amplified miR-17 92 expression, which …"
4,"miR-17","MicroRNAs of the miR-17∼92 family are critical regulators of TFH differentiation","SG Kang, WH Liu, P Lu, HY Jin, HW Lim","2013",200,"… the expression of miR-17∼92, … miR-17∼92 functions as a negative regulator of T FH 
differentiation (the 'repression of the repressors' model) 11 . Here we explore the role of the miR-17…"
4,"miR-17","Altered expression of miR‐17‐5p in CD4+ lymphocytes of relapsing–remitting multiple sclerosis patients","RLP Lindberg, F Hoffmann, M Mehling","2010",244,"… Our functional assays with the anti-miR-17 in in vitro stimulation experiments reversed the … 
role of miR-17 in activated T cells. Our on-going transfection studies with miR-17 RNA in vitro …"
4,"miR-17","[HTML][HTML] Expression, regulation and mechanism of action of the miR-17-92 cluster in tumor cells","LL Fang, XH Wang, BF Sun","2017",124,"… In 2005, He et al first discovered the miR-17-92 … the miR-17-92 cluster is involved in cancer, 
thus providing a theoretical basis to study the effect and molecular mechanism of the miR-17-…"
4,"miR-17","[HTML][HTML] Targeted deletion reveals essential and overlapping functions of the miR-17∼ 92 family of miRNA clusters","A Ventura, AG Young, MM Winslow, L Lintault","2008",1992,"… deficient for miR-17∼92 die shortly after birth with lung hypoplasia and a ventricular septal 
defect. The miR-17∼92 cluster is also essential for B cell development. Absence of miR-17∼…"
4,"miR-17","Repression of the miR‐17‐92 cluster by p53 has an important function in hypoxia‐induced apoptosis","H Yan, G Xue, Q Mei, Y Wang, F Ding, MF Liu","2009",347,"… repression of miR-17-92, we show that pri-miR-17-92 … of the miR-17-92 cluster reduced 
apoptosis of hypoxia-treated HCT116 p53 +/+ cells, whereas inhibition of miR-20a and miR-17-…"
4,"miR-17","Emerging Role of miR-106b-25/miR-17-92 Clusters in the Control of Transforming Growth Factor β Signaling","F Petrocca, A Vecchione, CM Croce","2008",503,"… that lentiviral transduction of the miR-17-92 cluster into … shed new light on the role of miR-17-92 and its paralog miR-… for example, miR-106b matches miR-17-5p sequence but it is …"
4,"miR-17","[HTML][HTML] The relative expression of miR-31, miR-29, miR-126, and miR-17 and their mRNA targets in the serum of COVID-19 patients with different grades during …","R Keikha, SM Hashemi-Shahri, A Jebali","2021",39,"Background The aim of this study was to evaluate the expression of four up/down-regulated 
inflammatory miRNAs and their mRNA targets in the serum samples of COVID-19 patients …"
4,"miR-17","Role of pri-miRNA tertiary structure in miR-17~ 92 miRNA biogenesis","SG Chaulk, GL Thede, OA Kent, Z Xu, E Gesner","2011",113,"… In order to directly visualize the folded structure of miR-17~92, we used single particle 
electron microscopy (EM). Electron micrographs of negatively stained miR-17~92 revealed …"
5,"miR-17","Control of oligodendroglial cell number by the miR-17-92 cluster","H Budde, S Schmitt, D Fitzner, L Opitz","2010",169,"… We specifically deleted the miR-17-92 cluster in … Absence of miR-17-92 leads to a reduction 
in oligodendrocyte … of miR-17-92 action in oligodendrocytes, we expressed miR-17 and …"
5,"miR-17","Germline deletion of the miR-17∼ 92 cluster causes skeletal and growth defects in humans","L de Pontual, E Yao, P Callier, L Faivre, V Drouin","2011",359,"… with mutant miR-17∼92 described here nor did we observe it in miR-17∼92 Δ/+ or miR-17∼… 
controls gastrointestinal development independently of miR-17∼92 or that miR-17∼92 is …"
5,"miR-17","Both mature miR-17-5p and passenger strand miR-17-3p target TIMP3 and induce prostate tumor growth and invasion","X Yang, WW Du, H Li, F Liu, A Khorshidi","2013",243,"… both miR-17-5p and miR-17-3p were elevated in the miR-17 … target(s) of both miR-17-5p 
and miR-17-3p in mediating the … to be bound by miR-17-5p and miR-17-3p. Bioinformatics …"
5,"miR-17","Feud or friend? The role of the miR-17-92 cluster in tumorigenesis","J Xiang, J Wu","2010",101,"… Results indicate that the miR-17-92 cluster functions as an … and miR-17-19b (a subset of the miR-17-92 cluster), the miR-17… et al. suggest an oncogenic role of miR-17-92 cluster and the …"
5,"miR-17","[HTML][HTML] Roles of miR-17-92 cluster in cardiovascular development and common diseases","H Gu, Z Liu, L Zhou","2017",45,"… miR-17-92 cluster is one of them. Although firstly described as an oncogenic miRNA cluster, 
the miR-17-… This review focuses on the characteristics and functions of miR-17-92 cluster in …"
