"page","term","title","authors","year","n_citations","abstract"
1,"miR-21a-5p","Exosomal miR-21a-5p mediates cardioprotection by mesenchymal stem cells","KM Luther, L Haar, M McGuinness, Y Wang","2018",175,"… Having established that MSC exosomes can cardioprotect H9c2 cells through uptake of miR-21a-5p, we sought to determine the mechanism by which miR-21a-5p protected the cells. …"
1,"miR-21a-5p","[HTML][HTML] Dynamic release of neuronal extracellular vesicles containing miR‐21a‐5p is induced by hypoxia","N Korvenlaita, M Gómez‐Budia, F Scoyni","2023",9,"… miR‐21a‐5p as the most prominently deregulated neuronal miRNA in a mouse model of 
ischemic stroke and provide data to support the role of miR‐21a‐5p in … show that miR‐21a‐5p is …"
1,"miR-21a-5p","[HTML][HTML] TNF-α stimulation enhances the neuroprotective effects of gingival MSCs derived exosomes in retinal ischemia-reperfusion injury via the MEG3/miR-21a-5p …","Z Yu, Y Wen, N Jiang, Z Li, J Guan, Y Zhang, C Deng","2022",54,"Retinal ischemia-reperfusion injury (IRI) is one of the main pathogenic mechanisms of 
glaucoma, which are largely unknown, including neuroinflammation and neuronal death in the …"
1,"miR-21a-5p","[HTML][HTML] Bone marrow mesenchymal stem cell-derived exosomal miR-21a-5p alleviates renal fibrosis by attenuating glycolysis by targeting PFKM","S Xu, YC Cheuk, Y Jia, T Chen, J Chen, Y Luo","2022",16,"… To explore the role of miR-21a-5p, we predicted the potential target genes of miR-21a-5p … 
Both databases suggested that PFKM is a potential target gene of miR-21a-5p (Fig. 5A). To …"
1,"miR-21a-5p","Mesenchymal stem cell-derived exosomal miR-21a-5p promotes M2 macrophage polarization and reduces macrophage infiltration to attenuate atherosclerosis","J Ma, L Chen, X Zhu, Q Li, L Hu","2021",50,"… miR-21a-5p promoted M2 polarization of RAW264.7 cells by suppressing KLF6 expression. 
MSC-derived exosomes containing miR-21a-5p … exosomes containing miR-21a-5p promote …"
1,"miR-21a-5p","MiR-21a-5p suppresses bisphenol A-induced pre-adipocyte differentiation by targeting map2k3 through MKK3/p38/MAPK","X Xie, J Song, G Li","2016",43,"… (miR-21a-5p) is reported to regulate the adipogenic differentiation. Our study showed that miR-21a-5p … adiponectin, and the induction was inhibited by miR-21a-5p mimics transfection. …"
1,"miR-21a-5p","LncRNA KCNQ1OT1 ameliorates particle-induced osteolysis through inducing macrophage polarization by inhibiting miR-21a-5p","X Gao, J Ge, W Li, W Zhou, L Xu","2018",42,"… as a miR-21a-5p decoy and miR-21a-5p directly targeted the 3′UTR of IL-10 in RAW264.7 
cells, we suspected that KCNQ1OT1 could regulate IL-10 expression by miR-21a-5p in …"
1,"miR-21a-5p","[HTML][HTML] miR-181a-5p regulates TNF-α and miR-21a-5p influences gualynate-binding protein 5 and IL-10 expression in macrophages affecting host control of Brucella …","PP Corsetti, LA De Almeida, ANA Gonçalves","2018",26,"… Finally, we show that one of the miRNAs downregulated during infection, miR-21a-5p, affects 
host control of B. abortus infection by negatively regulating guanylate-binding protein (GBP…"
1,"miR-21a-5p","Long Noncoding RNA GAS5 Suppresses 3T3-L1 Cells Adipogenesis Through miR-21a-5p/PTEN Signal Pathway","H Liu, H Li, L Jin, G Li, S Hu, C Ning, J Guo","2018",40,"… opposite expression pattern with miR-21a-5p in 3T3-… miR-21a-5p level and suppressed 
the proliferation of 3T3-L1 preadipocytes, while silencing GAS5 slightly increased miR-21a-5p …"
1,"miR-21a-5p","M1 Macrophage exosomes MiR‐21a‐5p aggravates inflammatory bowel disease through decreasing E‐cadherin and subsequent ILC2 activation","J Lu, D Liu, Y Tan, F Deng, R Li","2021",27,"… We showed for the first time that miR-21a-5p … that miR-21a-5p expression correlates 
negatively with E-cadherin expression in enterocytes. Moreover, we confirmed that miR-21a-5p was …"
2,"miR-21a-5p","[HTML][HTML] miR-21a-5p promotes inflammation following traumatic spinal cord injury through upregulation of neurotoxic reactive astrocyte (A1) polarization by inhibiting …","Y Zhang, T Meng, J Chen, Y Zhang, J Kang","2021",28,"… miR-21a-5p on the induction of A1 formation and the underlying mechanisms. Our study found 
that the expression of miR-21a-5p … ; the binding site between miR-21a-5p and Cntfr α was …"
2,"miR-21a-5p","… vesicles modulate microglia/macrophage polarization and protect the brain against hypoxia-ischemic injury in neonatal mice by targeting delivery of miR-21a-5p","D Xin, T Li, X Chu, H Ke, Z Yu, L Cao, X Bai, D Liu","2020",50,"… To confirm that a direct interaction was present between miR‐21a‐5p and Timp3, we 
employed a luciferase reporter assay. With use of this assay, we found that miR‐21a‐5p mimics …"
2,"miR-21a-5p","[HTML][HTML] The delivery of miR-21a-5p by extracellular vesicles induces microglial polarization via the STAT3 pathway following hypoxia-ischemia in neonatal mice","DQ Xin, YJ Zhao, TT Li, HF Ke, CC Gai","2022",14,"… We investigated the potential role of miR-21a-5p in mediating … miR-21a-5p in BV-2 
cells, which had been lowered following oxygen-glucose deprivation. When the level of miR-21a-5p …"
2,"miR-21a-5p","[HTML][HTML] Improvement of hyperlipidemia by aerobic exercise in mice through a regulatory effect of miR-21a-5p on its target genes","J Zhao, Y Song, Y Zeng, L Chen, F Yan, A Chen","2021",10,"… In our study, the expression of FABP7, HMGCR, ACAT1, and OLR1 were increased in miR-21a-5p KD mice, indicated that miR-21a-5p played a negative regulatory role on these target …"
2,"miR-21a-5p","[HTML][HTML] Caffeine and chlorogenic acid combination attenuate early-stage chemically induced colon carcinogenesis in mice: involvement of oncomiR miR-21a-5p","AR Bartolomeu, GR Romualdo, CG Lisón","2022",11,"… the oncomiR miR-21a-5p in the colon. Accordingly, the analysis of miR-21a-5p targets … 
of miR-21a-5p expression, highlighting the importance of coffee intake to prevent CRC. …"
2,"miR-21a-5p","GABA alleviates high glucose-induced podocyte injury through dynamically altering the expression of macrophage M1/M2-derived exosomal miR-21a-5p/miR-25-3p","Y Zhuang, H Zheng, Y Yang, H Ni","2022",8,"… (G) The protein expression of Tnpo1 in podocytes when transfected with miR-21a-5p mimic 
or miR-21a-5p inhibitor. (H) The protein expression of ATXN3 in podocytes when transfected …"
