"page","term","title","authors","year","n_citations","abstract"
1,"miR-7a","[HTML][HTML] The circular RNA Cdr1as promotes myocardial infarction by mediating the regulation of miR-7a on its target genes expression","HH Geng, R Li, YM Su, J Xiao, M Pan, XX Cai, XP Ji","2016",396,"… identified circular RNAs (circRNAs), as a miR-7a/b sponge or inhibitor in brain tissues … miR-7a pathway in cardiomyocytes, and explore the mechanism underlying the function of miR-7a …"
1,"miR-7a","miR-7a alleviates the maintenance of neuropathic pain through regulation of neuronal excitability","A Sakai, F Saitow, N Miyake, K Miyake, T Shimada","2013",151,"… miR-7a as an important microRNA for normal nociception. We also show that miR-7a … To 
assess the direct contribution of miR-7a to neuropathic pain, we induced miR-7a expression …"
1,"miR-7a","miR-7a regulation of Pax6 controls spatial origin of forebrain dopaminergic neurons","A De Chevigny, N Coré, P Follert, M Gaudin","2012",160,"… -PCR analyses identified a gradient of miR-7a opposing the expression of Pax6 protein in … 
between miR-7a and the Pax6 3′ UTR. First, we mutated two key nucleotides in the miR-7a …"
1,"miR-7a","[HTML][HTML] Down-regulation of Xist and Mir-7a-5p improves LPS-induced myocardial injury","D Liang, Y Jin, M Lin, X Xia, X Chen","2020",28,"… Mir-7a-5p inhibition or mir-7a-5p overexpression had no impact on the expression of xist. 
B: The expression of mir-7a… Inhibition or overexpression of xist did not alter mir-7a-5p …"
1,"miR-7a","The microRNA miR-7a-5p ameliorates ischemic brain damage by repressing α-synuclein","TH Kim, SL Mehta, KC Morris-Blanco, AK Chokkalla","2018",95,"Ischemic stroke, which is caused by a clot that blocks blood flow to the brain, can be severely 
disabling and sometimes fatal. We previously showed that transient focal ischemia in a rat …"
1,"miR-7a","[PDF][PDF] MiR-7a ameliorates spinal cord injury by inhibiting neuronal apoptosis and oxidative stress.","LZ Ding, J Xu, C Yuan, X Teng","2020",21,"… declined miR-7a might be involved in cell damage and oxidative stress following SCI. Through miR7a mimics administration, we investigated whether the repair of miR-7a could rescue …"
1,"miR-7a","[HTML][HTML] miR-7a/b attenuates post-myocardial infarction remodeling and protects H9c2 cardiomyoblast against hypoxia-induced apoptosis involving Sp1 and PARP-1","R Li, H Geng, J Xiao, X Qin, F Wang, J Xing, Y Xia","2016",71,"… Here, we sought to investigate the function of miR-7a/b in post-MI remodeling in a mouse … 
, which is abrogated by miR-7a/b. In summary, these findings identified miR-7a/b as protectors …"
1,"miR-7a","[HTML][HTML] circ-Pank1 promotes dopaminergic neuron neurodegeneration through modulating miR-7a-5p/α-syn pathway in Parkinson's disease","Q Liu, Q Li, R Zhang, H Wang, Y Li, Z Liu, W Xie","2022",18,"… miR-7a-5p and upregulate the expression of α-synuclein (α-syn), which is a molecular 
hallmark closely related to PD. The inhibition of miR-7a… locomotor dysfunction via the miR-7a-5p/α-…"
1,"miR-7a","[HTML][HTML] Pituitary tissue-specific miR-7a-5p regulates FSH expression in rat anterior adenohypophyseal cells","CJ Wang, HX Guo, DX Han, ZW Yu, Y Zheng, H Jiang","2019",9,"… We examined the expression levels of miR-7a-5p after transfection of miR-7a-5p mimics 
or inhibitors for 24 h to verify whether the mimics and inhibitors were transfected into pituitary …"
2,"miR-7a","LncRNA-Meg3 promotes Nlrp3-mediated microglial inflammation by targeting miR-7a-5p","J Meng, T Ding, Y Chen, T Long, Q Xu, W Lian","2021",44,"… on miR-7a-5p expression. Here we found Meg3 was physically associated with miR-7a-5p, 
while miR-7a-… Meg3 inhibited miR-7a-5p level and downregulated Meg3 induced miR-7a-5p …"
